Date,Antonio Ante,Ibarra,Otavalo,Pimampiro,San Miguel de Urcuquí,Cotacachi
13/03/20,1,1,1,1,0,1
14/03/20,1,2,1,1,0,2
15/03/20,1,3,1,1,0,2
16/03/20,1,4,1,0,0,2
17/03/20,1,4,1,0,0,2
18/03/20,1,4,1,0,0,2
19/03/20,1,7,1,0,0,2
20/03/20,1,7,1,0,0,2
21/03/20,1,8,1,0,0,2
22/03/20,3,8,1,0,0,2
23/03/20,3,8,2,0,0,2
24/03/20,3,8,1,0,0,2
25/03/20,3,9,1,0,0,2
26/03/20,3,13,1,0,0,2
27/03/20,3,14,1,0,0,4
28/03/20,3,16,2,0,0,0
29/03/20,3,17,2,0,0,0
30/03/20,3,18,2,0,0,0
31/03/20,3,19,2,0,0,0
1/04/20,4,19,2,0,0,0
2/04/20,5,19,2,0,0,0
3/04/20,5,20,2,0,0,0
4/04/20,5,25,3,0,0,0
5/04/20,0,25,4,0,0,0
6/04/20,0,26,4,0,0,0
7/04/20,0,26,5,0,0,0
8/04/20,0,26,6,0,0,0
9/04/20,0,27,6,0,0,0
10/04/20,0,27,6,0,0,0
11/04/20,0,34,9,0,0,0
12/04/20,0,34,0,0,0,0
13/04/20,0,37,0,0,0,0
14/04/20,0,37,0,0,0,0
15/04/20,0,37,0,0,0,0
16/04/20,0,37,0,0,0,0
17/04/20,0,39,0,0,0,0
18/04/20,0,0,0,0,0,0
19/04/20,0,0,0,0,0,0
20/04/20,0,0,0,0,0,0
21/04/20,0,0,0,0,0,0
22/04/20,0,0,0,0,0,0
23/04/20,0,0,0,0,0,0
24/04/20,5,39,9,1,0,4
25/04/20,5,39,9,1,0,4
26/04/20,5,39,9,1,0,4
27/04/20,5,39,9,1,0,4
28/04/20,6,50,15,4,0,6
29/04/20,6,50,15,4,0,6
30/04/20,7,53,18,5,0,6
1/05/20,8,61,18,5,0,6
2/05/20,7,61,18,6,0,7
3/05/20,7,62,18,6,0,6
4/05/20,7,61,19,6,0,6
5/05/20,7,61,19,6,0,6
6/05/20,7,63,22,6,0,6
7/05/20,7,65,24,6,0,6
8/05/20,7,72,23,6,0,6
9/05/20,7,72,23,6,0,6
10/05/20,7,73,29,11,0,6
11/05/20,7,72,23,6,0,6
12/05/20,7,79,31,18,0,6
13/05/20,7,79,31,18,0,6
14/05/20,7,79,31,18,0,6
15/05/20,7,82,33,18,0,6
16/05/20,8,82,34,18,0,7
17/05/20,8,83,35,18,0,7
18/05/20,8,83,35,18,0,8
19/05/20,8,89,39,24,0,8
20/05/20,8,92,39,24,0,8
21/05/20,8,95,41,24,0,8
22/05/20,8,95,44,24,0,8
23/05/20,8,96,49,24,0,11
24/05/20,9,97,49,24,0,11
25/05/20,9,99,52,24,0,11
26/05/20,9,101,53,24,0,11
27/05/20,9,101,54,24,0,11
28/05/20,10,102,55,24,0,11
29/05/20,10,102,55,24,0,11
30/05/20,10,102,55,24,0,11
31/05/20,10,103,55,24,0,11
1/06/20,11,115,56,26,1,11
2/06/20,11,116,56,26,1,12
3/06/20,11,120,56,26,1,12
4/06/20,11,124,56,26,2,12
5/06/20,11,124,56,26,5,12
6/06/20,11,128,57,26,5,12
7/06/20,13,131,63,26,5,12
8/06/20,13,132,63,26,5,12
9/06/20,13,134,83,26,5,12
10/06/20,13,145,87,32,5,13
11/06/20,14,155,91,33,5,14
12/06/20,15,158,91,37,5,14
13/06/20,16,163,102,37,5,18
14/06/20,16,163,105,37,5,18
15/06/20,26,171,119,37,5,18
16/06/20,26,173,119,41,5,21
17/06/20,27,193,139,43,5,21
18/06/20,28,201,140,43,5,27
19/06/20,29,201,143,43,5,27
20/06/20,29,201,146,43,6,27
21/06/20,30,207,146,44,6,27
22/06/20,30,208,146,44,6,27
23/06/20,35,224,168,44,6,27
24/06/20,35,228,168,44,6,27
25/06/20,35,254,177,44,6,28
26/06/20,35,255,177,44,6,28
27/06/20,36,260,177,44,6,28
28/06/20,37,264,186,44,6,29
29/06/20,37,270,187,44,7,30
30/06/20,37,272,188,44,7,30
1/07/20,44,282,192,45,7,33
2/07/20,45,293,192,45,7,35
3/07/20,45,333,196,45,10,36
4/07/20,47,358,216,45,10,36
5/07/20,47,362,216,45,10,36
6/07/20,47,362,216,45,10,36
7/07/20,47,376,224,45,11,36
8/07/20,62,396,225,46,11,40
9/07/20,65,405,239,47,18,40
10/07/20,65,425,239,48,23,40
11/07/20,66,431,248,48,23,40
12/07/20,66,434,249,48,23,40
13/07/20,70,456,250,48,23,40
14/07/20,70,456,251,48,24,40
15/07/20,73,494,252,56,25,62
16/07/20,73,517,255,58,25,65
17/07/20,74,522,255,58,25,68
18/07/20,74,528,263,58,25,100
19/07/20,76,588,265,62,33,104
